137,0,16.28,15.21,16.24,10.172
137,1,15,15,27.55,9.3768
137,2,15.17,15,15.41,8.9816
137,3,15.85,16.47,15.54,9.0237
138,0,37.93,37.57,38.27,19.299
138,1,18.89,38.35,18.61,0.88236
138,2,18.48,36.88,37.05,0.69576
138,3,37.29,37.31,18.64,18.693
138,4,18.3,37.26,17.98,0.87529
139,0,28.94,29.11,28.87,8.6229
139,1,15,15,27.93,9.6806
139,2,28.82,28.83,15,10.536
139,3,15,26.34,15,9.6623
139,4,25.72,25.05,15,10.041
140,0,23.15,23.26,22.86,5.2864
140,1,23.8,24.44,23.14,5.431
140,2,22.63,22.46,22.84,4.5855
140,3,21.9,21.94,21.87,5.1282
140,4,22.8,20.98,23.67,4.8427
141,0,22.21,21.74,22.64,6.4937
141,1,21.93,22.36,21.51,4.2373
141,2,21.67,21.94,21.41,4.5278
141,3,20.73,21.3,20.17,3.3578
141,4,20.67,20.67,20.67,3.5574
142,0,25.5,25.58,25.41,8.5257
142,1,25.03,24.63,25.42,7.4943
142,2,24.69,25.78,23.72,8.1756
142,4,24.51,15,24.25,9.7239
143,0,15,28.06,15,9.6724
143,1,28.33,28.51,27.64,8.1868
143,2,27,15,26.14,8.3645
143,3,25.01,25.54,24.76,7.4643
143,4,26.13,25.55,26.28,7.9074
144,0,24.91,24.7,25.09,4.9211
144,1,25.57,25.64,25.51,2.9044
144,2,25.77,26.03,25.49,3.8332
144,3,25.89,26.06,25.72,4.1402
144,4,25.92,26.03,25.83,2.8554
145,1,26.34,26.95,25.75,7.8538
145,2,24.96,25.43,24.23,6.2329
145,3,24.78,24.6,24.99,7.5709
145,4,24.28,24.21,24.35,7.3609
146,0,24.82,24.57,24.92,9.1269
146,1,15.45,15.15,18.27,6.8936
146,2,15.16,15.49,15.12,7.2253
146,3,15.07,15.05,15.57,7.3056
146,4,15.51,18.22,15,6.3438
147,0,21.56,16.83,15,9.9147
147,1,22.35,22.16,22.54,8.3456
147,2,21.91,20.85,21.96,8.5064
147,3,20.89,19.72,22.99,7.9321
147,4,22.3,21.6,22.37,8.6928
148,0,25.5,25.09,26.1,1.1852
148,1,25.17,25.21,25.15,8.2132
148,2,25.99,26.26,25.72,8.1882
148,3,25.33,25.71,24.96,6.1605
148,4,24.83,24.91,24.81,7.1089
149,0,21.76,21.75,21.85,8.6061
149,1,20.69,20.64,20.72,8.3906
149,2,22.05,18.3,21.72,9.0376
149,3,20.81,19.05,20.99,7.6182
149,4,20.93,20.51,21.05,7.3487
150,0,25.71,25.15,25.52,10.288
150,1,15,21.87,15,6.7804
150,3,21.98,23.38,21.8,8.8677
150,4,23.3,22.01,23.68,9.3855
151,0,27.29,26.9,27.7,1.5538
151,1,25.99,26.88,23.49,6.6752
151,2,25.21,26.46,24.3,7.3396
151,3,27.25,27.1,27.35,9.143
151,4,28.52,15.08,27.31,9.6299
152,0,22.23,21.79,15,9.7661
152,1,16.53,16.5,16.55,6.1514
152,2,17.81,18.01,17.05,7.1075
152,3,18.09,18.24,17.94,6.984
152,4,16.8,16.83,16.76,6.3063
153,0,23.49,23.32,23.52,9.9423
153,1,21.64,21.58,21.66,7.4126
153,2,22.24,23.13,21.73,7.9626
153,3,20.63,20.73,20.52,6.6466
153,4,21.17,20.26,27.68,7.4166
154,0,22.74,25.3,22.03,8.1735
154,1,27.04,15,25.93,8.9502
154,2,23.19,23.3,22.82,7.1268
154,3,23.42,24.44,22.71,6.9978
154,4,22.73,23.15,22.37,4.7891
155,0,26,24.21,26.76,10.867
155,1,27.15,27.44,26.16,9.7975
155,2,25.07,25,25.14,7.3185
155,3,24.41,25.09,23.55,5.6576
155,4,24.5,25.6,23.5,7.4755
